city,timestamp,temperature,season
New York,2010-01-01,-3.525444322803745,winter
New York,2010-01-02,-1.0095069554997513,winter
New York,2010-01-03,1.547057089122935,winter
New York,2010-01-04,3.1110688075421917,winter
New York,2010-01-05,-1.6270907862000452,winter
New York,2010-01-06,-6.2137682815100215,winter
New York,2010-01-07,1.5630716444437611,winter
New York,2010-01-08,-2.5298256386242763,winter
New York,2010-01-09,-3.32985953554949,winter
New York,2010-01-10,1.127693525303084,winter
New York,2010-01-11,-6.663533458226562,winter
New York,2010-01-12,7.156130144980652,winter
New York,2010-01-13,8.93871739342185,winter
New York,2010-01-14,-1.2747208617863781,winter
New York,2010-01-15,4.053117144076707,winter
New York,2010-01-16,-7.522061215425772,winter
New York,2010-01-17,0.13363995684742783,winter
New York,2010-01-18,8.75829615900792,winter
New York,2010-01-19,-6.791292574195893,winter
New York,2010-01-20,-4.931038992328594,winter
New York,2010-01-21,1.1119678847303751,winter
New York,2010-01-22,-3.8818548958692456,winter
New York,2010-01-23,-3.936630276118729,winter
New York,2010-01-24,1.934215638720035,winter
New York,2010-01-25,7.590989054156664,winter
New York,2010-01-26,1.9658079254692737,winter
New York,2010-01-27,1.2591548114013635,winter
New York,2010-01-28,-2.1066767553051773,winter
New York,2010-01-29,5.358384458857419,winter
New York,2010-01-30,-1.5499217064945239,winter
New York,2010-01-31,-8.581209401136347,winter
New York,2010-02-01,-2.2135545723430154,winter
New York,2010-02-02,1.7781493462891498,winter
New York,2010-02-03,1.0121357920570997,winter
New York,2010-02-04,-2.4983008354032297,winter
New York,2010-02-05,3.359142042913568,winter
New York,2010-02-06,-3.449355136782053,winter
New York,2010-02-07,-5.646936449575665,winter
New York,2010-02-08,4.6792792700097845,winter
New York,2010-02-09,-7.07434789785104,winter
New York,2010-02-10,-2.7311787995599044,winter
New York,2010-02-11,-0.7540385225691836,winter
New York,2010-02-12,4.14435796508436,winter
New York,2010-02-13,4.657582012883955,winter
New York,2010-02-14,-10.584519529216239,winter
New York,2010-02-15,-6.191566888031121,winter
New York,2010-02-16,5.3113129640586845,winter
New York,2010-02-17,-0.40122714427338063,winter
New York,2010-02-18,-5.425620112047279,winter
New York,2010-02-19,-0.22095852870513255,winter
New York,2010-02-20,-1.007840383988462,winter
New York,2010-02-21,0.4568995999381593,winter
New York,2010-02-22,-0.14443194791797326,winter
New York,2010-02-23,3.470056463617281,winter
New York,2010-02-24,2.766565229576229,winter
New York,2010-02-25,2.2763929169355466,winter
New York,2010-02-26,-3.667905934500057,winter
New York,2010-02-27,-4.25931528752821,winter
New York,2010-02-28,1.9393909167758296,winter
New York,2010-03-01,-1.3231920740341039,spring
New York,2010-03-02,13.24800346522186,spring
New York,2010-03-03,9.938692005913484,spring
New York,2010-03-04,9.52268871239387,spring
New York,2010-03-05,10.973169769424683,spring
New York,2010-03-06,7.2217705759701545,spring
New York,2010-03-07,5.105087828840299,spring
New York,2010-03-08,11.437587527698073,spring
New York,2010-03-09,9.82591615699203,spring
New York,2010-03-10,9.186226078302525,spring
New York,2010-03-11,0.43584109704175056,spring
New York,2010-03-12,13.698445152010585,spring
New York,2010-03-13,6.329167356090253,spring
New York,2010-03-14,8.451784879704931,spring
New York,2010-03-15,13.157520342093466,spring
New York,2010-03-16,8.297128829924212,spring
New York,2010-03-17,14.002682289971212,spring
New York,2010-03-18,5.123013786105848,spring
New York,2010-03-19,11.113384227009957,spring
New York,2010-03-20,7.620136897848861,spring
New York,2010-03-21,9.76880738462423,spring
New York,2010-03-22,9.74271618875946,spring
New York,2010-03-23,2.929014423358268,spring
New York,2010-03-24,8.397780351559247,spring
New York,2010-03-25,0.13535996136542927,spring
New York,2010-03-26,18.023536146130898,spring
New York,2010-03-27,14.420546758766378,spring
New York,2010-03-28,9.825718619941114,spring
New York,2010-03-29,11.0004952736586,spring
New York,2010-03-30,14.097921244462453,spring
New York,2010-03-31,10.793367295998681,spring
New York,2010-04-01,8.383665252020277,spring
New York,2010-04-02,12.339197811312568,spring
New York,2010-04-03,7.935987710109272,spring
New York,2010-04-04,8.113702447087993,spring
New York,2010-04-05,5.1826243675268655,spring
New York,2010-04-06,9.262508906042813,spring
New York,2010-04-07,6.598627404055296,spring
New York,2010-04-08,14.83412191151227,spring
New York,2010-04-09,5.791476491899602,spring
New York,2010-04-10,13.597195824333435,spring
New York,2010-04-11,11.306533403436173,spring
New York,2010-04-12,14.049858925086147,spring
New York,2010-04-13,1.5511143242625174,spring
New York,2010-04-14,13.479930527526804,spring
New York,2010-04-15,11.639765336563721,spring
New York,2010-04-16,-5.00134744588596,spring
New York,2010-04-17,16.591638197664178,spring
New York,2010-04-18,10.061410281935396,spring
New York,2010-04-19,7.284606470693859,spring
New York,2010-04-20,11.82934425000903,spring
New York,2010-04-21,9.123993571018545,spring
New York,2010-04-22,12.992299879581877,spring
New York,2010-04-23,13.78638548053395,spring
New York,2010-04-24,14.341105209409424,spring
New York,2010-04-25,8.567105585169458,spring
New York,2010-04-26,3.7100209046295998,spring
New York,2010-04-27,7.681863114282441,spring
New York,2010-04-28,4.660020778236163,spring
New York,2010-04-29,10.240433482314785,spring
New York,2010-04-30,6.959146664219352,spring
New York,2010-05-01,15.699979434915146,spring
New York,2010-05-02,7.301978813221762,spring
New York,2010-05-03,12.229815329527357,spring
New York,2010-05-04,0.23232051175800805,spring
New York,2010-05-05,0.8606976025843576,spring
New York,2010-05-06,3.135590769250742,spring
New York,2010-05-07,11.266862134981976,spring
New York,2010-05-08,3.497998696520024,spring
New York,2010-05-09,14.568315340003625,spring
New York,2010-05-10,7.473390568254318,spring
New York,2010-05-11,10.5361532315038,spring
New York,2010-05-12,10.436541499726385,spring
New York,2010-05-13,10.006776714777114,spring
New York,2010-05-14,6.994898474833958,spring
New York,2010-05-15,12.261837945189598,spring
New York,2010-05-16,8.340738315969158,spring
New York,2010-05-17,11.73189619063359,spring
New York,2010-05-18,10.42575903978867,spring
New York,2010-05-19,3.486299461171349,spring
New York,2010-05-20,1.5448449746619577,spring
New York,2010-05-21,5.004406451746963,spring
New York,2010-05-22,7.561409630666521,spring
New York,2010-05-23,14.437990555221651,spring
New York,2010-05-24,10.965958092716399,spring
New York,2010-05-25,-4.0955820571636625,spring
New York,2010-05-26,12.34400990964314,spring
New York,2010-05-27,2.0124078806810797,spring
New York,2010-05-28,-0.3062291574005158,spring
New York,2010-05-29,8.26651882726731,spring
New York,2010-05-30,9.087712364727036,spring
New York,2010-05-31,10.49277996710001,spring
New York,2010-06-01,25.707196632891304,summer
New York,2010-06-02,19.483979270875246,summer
New York,2010-06-03,28.19312036756564,summer
New York,2010-06-04,27.8248241798444,summer
